Sitename,SPECIES,COMMONNAME,LAT,LONG
"Westway Grove, Blanchardstown",Acer campestre,Field Maple,53.39913872,-6.370387762
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.40005832,-6.368497982
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.40024057,-6.369038448
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39958013,-6.369685128
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39905329,-6.370961759
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39875304,-6.371256493
"Glenville Lawn, Blanchardstown",Acer campestre,Field Maple,53.38149647,-6.389806633
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38551197,-6.42464241
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38560034,-6.424359583
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38578706,-6.423801073
"Porter's Gate Close, Blanchardstown",Acer campestre,Field Maple,53.38608436,-6.422634849
"Porter's Gate Crescent, Blanchardstown",Acer campestre,Field Maple,53.38490313,-6.426941341
"Westway Close, Blanchardstown",Acer campestre,Field Maple,53.40123843,-6.370273052
"Westway Grove, Blanchardstown",Acer campestre,Field Maple,53.39923171,-6.370544331
"Westway Grove, Blanchardstown",Acer campestre,Field Maple,53.39957698,-6.370309362
"Westway Grove, Blanchardstown",Acer campestre,Field Maple,53.3993514,-6.36996496
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39879071,-6.371316698
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39894087,-6.370809993
"Westway Lawn, Blanchardstown",Acer campestre,Field Maple,53.39887812,-6.370709701
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.39996485,-6.368661686
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.4000948,-6.36770963
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.40039833,-6.368194781
"Westway Park, Blanchardstown",Acer campestre,Field Maple,53.40033855,-6.368127305
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39995801,-6.369502278
"Westway View, Blanchardstown",Acer campestre,Field Maple,53.39964988,-6.369041805
"Woodvale Avenue, Blanchardstown",Acer campestre,Field Maple,53.39477393,-6.408929216
"Homeleigh, Castleknock",Acer negundo,Box elder,53.36681594,-6.398720197
"Homeleigh, Castleknock",Acer negundo,Box elder,53.36681594,-6.398720197
"Beechpark Avenue, Castleknock",Acer negundo,Box elder,53.37725012,-6.361649747
"Georgian Village, Castleknock",Acer negundo,Box elder,53.36844806,-6.353613132
"The Hill, Mulhuddart Wood, Blanchardstow",Acer negundo,Box elder,53.40236263,-6.399910373
"The Drive, Mulhuddart Wood, Blanchardsto",Acer negundo,Box elder,53.4029803,-6.400787264
"Mulhuddart Wood, Blanchardstown",Acer negundo,Box elder,53.40440496,-6.401688951
"Mulhuddart Wood, Blanchardstown",Acer negundo,Box elder,53.40440577,-6.401749068
"Woodview Park, Castleknock",Acer palmatum,Smooth Japanese Mapl,53.37913599,-6.359548826
"Parkview, Castleknock",Acer palmatum,Smooth Japanese Mapl,53.37147604,-6.345451694
"Parkview, Castleknock",Acer palmatum,Smooth Japanese Mapl,53.37147604,-6.345451694
"Ashley Drive, Swords",Acer platanoides,Norway Maple,53.45471589,-6.211840977
"Forest Crescent, Swords",Sorbus spp.,Sorbus spp.,53.45109178,-6.244555007
"Estuary Court, Swords",Acer platanoides,Norway Maple,53.46326294,-6.21244275
"Saint Columcille's Crescent, Swords",Acer platanoides,Norway Maple,53.45810266,-6.216371774
"Estuary Court, Swords",Acer platanoides,Norway Maple,53.46323388,-6.212296552
"Malahide Road, Swords",Acer platanoides,Norway Maple,53.45563059,-6.219207547
"Seatown Villas, Swords",Acer platanoides,Norway Maple,53.46218063,-6.216582754
"Estuary Court, Swords",Acer platanoides,Norway Maple,53.46317333,-6.211991911
"Estuary Court, Swords",Acer platanoides,Norway Maple,53.46328062,-6.212531904
"Forestfields Road, Swords",Acer platanoides,Norway Maple,53.45208094,-6.236430422
"Elmwood Park, Swords",Acer platanoides,Norway Maple,53.462486,-6.235214883
"Seatown Road, Swords",Acer platanoides,Norway Maple,53.46197876,-6.212858416
"Estuary Court, Swords",Acer platanoides,Norway Maple,53.46317333,-6.211991911
"Broadmeadows, Swords",Acer platanoides,Norway Maple,53.46512822,-6.22664701
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46220262,-6.233935142
"Cherry Park, Swords",Acer platanoides,Norway Maple,53.44829392,-6.239845271
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44999022,-6.237584975
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46206416,-6.233662476
"Abbeylea Drive, Swords",Acer platanoides,Norway Maple,53.46230038,-6.232561578
"Saint Columba's Heights, Swords",Acer platanoides,Norway Maple,53.45826674,-6.22749426
"Highfield Lawns, Swords",Acer platanoides,Norway Maple,53.45409929,-6.227610707
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46245466,-6.234097841
"Broadmeadows, Swords",Acer platanoides,Norway Maple,53.46584478,-6.230731254
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44953689,-6.23574212
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44933067,-6.237952197
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44923148,-6.237843707
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46279369,-6.234036478
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44916729,-6.238505692
"Hilltown Lawn, Swords",Acer platanoides,Norway Maple,53.45421085,-6.237650091
"Highfield Lawns, Swords",Acer platanoides,Norway Maple,53.45409704,-6.227610801
"Hilltown Grove, Swords",Acer platanoides,Norway Maple,53.45393011,-6.239031255
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44927198,-6.235195235
"River Valley Road, Swords",Acer platanoides,Norway Maple,53.45283129,-6.237155649
"Hilltown Lawn, Swords",Acer platanoides,Norway Maple,53.4542706,-6.238209465
"Highfield Downs, Swords",Acer platanoides,Norway Maple,53.45393622,-6.226801681
"Forest Way, Swords",Acer platanoides,Norway Maple,53.45016649,-6.239568494
"Elmwood Park, Swords",Acer platanoides,Norway Maple,53.46290254,-6.235576456
"River Valley Grove, Swords",Acer platanoides,Norway Maple,53.44974776,-6.233636899
"River Valley Grove, Swords",Acer platanoides,Norway Maple,53.45044658,-6.234449381
"Cherry Park, Swords",Acer platanoides,Norway Maple,53.44811823,-6.239892732
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44909762,-6.23788869
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45400878,-6.234603536
"River Valley Close, Swords",Acer platanoides,Norway Maple,53.45507134,-6.241300101
"River Valley Close, Swords",Acer platanoides,Norway Maple,53.4547647,-6.240083983
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45451918,-6.236366825
"River Valley Court, Swords",Acer platanoides,Norway Maple,53.45556099,-6.240769028
"Hilltown Lawn, Swords",Acer platanoides,Norway Maple,53.45433912,-6.238096875
"River Valley Court, Swords",Acer platanoides,Norway Maple,53.45572806,-6.241161087
"Broadmeadows, Swords",Acer platanoides,Norway Maple,53.46579462,-6.230517846
"Broadmeadows, Swords",Acer platanoides,Norway Maple,53.46520977,-6.225524438
"Hilltown Grove, Swords",Unknown Broadleaf,Unknown Broadleaf,53.45383961,-6.239134363
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45306904,-6.234884612
"Castlefarm, Swords",Acer platanoides,Norway Maple,53.4638344,-6.225926366
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45423089,-6.235288952
"River Valley Court, Swords",Acer platanoides,Norway Maple,53.45547349,-6.240331826
"River Valley Avenue, Swords",Acer platanoides,Norway Maple,53.45237063,-6.232714766
"Hilltown Green, Swords",Acer platanoides,Norway Maple,53.45481718,-6.234076027
"Cherry Park, Swords",Acer platanoides,Norway Maple,53.44789291,-6.241250619
"Cherry Avenue, Swords",Acer platanoides,Norway Maple,53.44883934,-6.239142163
"Hilltown Grove, Swords",Acer platanoides,Norway Maple,53.4542025,-6.238776844
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45408616,-6.234847677
"Hilltown Park, Swords",Acer platanoides,Norway Maple,53.45390195,-6.234392235
"Forest Dale, Swords",Acer platanoides,Norway Maple,53.45065729,-6.242660372
"Cherry Park, Swords",Acer platanoides,Norway Maple,53.4480186,-6.240095699
"River Valley Court, Swords",Acer platanoides,Norway Maple,53.45564321,-6.241202385
"River Valley Drive, Swords",Acer platanoides,Norway Maple,53.45268729,-6.230366226
"Hilltown Grove, Swords",Acer platanoides,Norway Maple,53.4548986,-6.237641168
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46197141,-6.233765407
"Hilltown Grove, Swords",Acer campestre,Field Maple,53.45484585,-6.238073327
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46158107,-6.233085359
"River Valley Road, Swords",Acer platanoides,Norway Maple,53.45426242,-6.240726833
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46255484,-6.234236578
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46204341,-6.233924287
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.46199884,-6.233839707
"Broadmeadows, Swords",Acer platanoides,Norway Maple,53.46534466,-6.230497419
"River Valley Drive, Swords",Acer platanoides,Norway Maple,53.45310222,-6.231078809
"Elmwood Road, Swords",Acer platanoides,Norway Maple,53.4619478,-6.236046867
"River Valley Drive, Swords",Acer platanoides,Norway Maple,53.45213989,-6.230513797
"Rathbeale Court, Swords",Acer platanoides,Norway Maple,53.4610027,-6.225913497
"Abbeylea Avenue, Swords",Acer platanoides,Norway Maple,53.4624542,-6.234261236
"Cherry Garth, Swords",Acer pseudoplatanus,Sycamore,53.45190877,-6.239237467
"Castlefarm, Swords",Acer platanoides,Norway Maple,53.46299852,-6.228632835
